Jahr,Liga,Team,Player,W,L,ERA,G,GS,CG,Sho,Sv,IP,R,ER,H,2B,3B,HR,SH,SF,HB,BB,IBB,K,WP,Bk,AB,BAVG,,W,L
2020,1. Liga (BBL),Bulls,Kirian Pichler,3,6,6.54,11,6,0,0,0,53.67,52,39,67,16,0,3,3,4,8,33,0,30,6,0,226,0.296,,3,6
2020,1. Liga (BBL),Bulls,Pavao Karin,1,6,7.98,10,8,3,0,0,47.34,64,42,61,13,2,3,2,5,6,29,0,31,7,2,209,0.292,,1,6
2020,1. Liga (BBL),Bulls,Erwin Frias,1,1,4.05,7,3,0,0,1,26.67,18,12,28,4,0,2,0,0,4,13,0,37,3,0,111,0.252,,1,1
2020,1. Liga (BBL),Bulls,Marcel Winder,0,1,14.04,8,1,0,0,0,16.67,32,26,42,12,1,2,0,2,3,8,0,6,1,0,86,0.488,,0,1
2020,1. Liga (BBL),Bulls,Pascal Campregher,0,2,18.89,8,4,0,0,0,13.34,34,28,28,2,0,3,0,5,14,20,0,10,4,1,65,0.431,,0,2
2020,1. Liga (BBL),Bulls,Hubert Böhler,0,0,4.50,2,0,0,0,0,4,4,2,4,0,0,1,0,1,1,3,0,1,1,1,15,0.267,,0,0
2020,1. Liga (BBL),Bulls,Yanik Mäser,0,1,9.00,1,0,0,0,0,3,3,3,1,0,0,1,0,0,0,4,0,1,1,0,10,0.100,,0,1
2020,1. Liga (BBL),Bulls,Clayton Carson,0,0,20.22,1,0,0,0,0,2.67,6,6,7,1,0,1,0,1,0,2,0,2,1,0,13,0.538,,0,0
2020,1. Liga (BBL),Bulls,Jonas Zimmermann,0,0,10.78,2,0,0,0,0,1.67,2,2,4,1,1,0,0,0,0,0,0,1,1,0,10,0.400,,0,0
