Jahr,Liga,Team,Player,W,L,ERA,G,GS,CG,Sho,Sv,IP,R,ER,H,2B,3B,HR,SH,SF,HB,BB,IBB,K,WP,Bk,AB,BAVG,,W,L
2019,1. Liga (BLA),Bulls,Zeke Howie,3,7,3.17,13,13,4,1,0,96.67,63,34,89,19,4,4,5,3,11,41,0,85,16,0,381,0.234,,3,7
2019,1. Liga (BLA),Bulls,Marcel Winder,3,7,8.63,11,7,4,0,0,72,84,69,108,29,4,6,3,8,13,45,0,25,4,1,311,0.347,,3,7
2019,1. Liga (BLA),Bulls,Kirian Pichler,2,0,7.94,8,5,0,0,0,28.33,28,25,31,9,0,2,1,1,5,30,0,18,4,1,113,0.274,,2,0
2019,1. Liga (BLA),Bulls,Erwin Frias,1,1,10.13,4,0,0,0,0,5.33,7,6,6,2,0,0,0,1,1,11,0,6,2,0,22,0.273,,1,1
2019,1. Liga (BLA),Bulls,Carlos Gabriel,0,0,7.20,3,0,0,0,0,5,6,4,12,2,0,0,0,1,0,3,0,2,2,0,25,0.480,,0,0
2019,1. Liga (BLA),Bulls,Pascal Campregher,0,1,15.45,3,1,0,0,0,4.66,9,8,4,0,0,0,0,0,4,12,0,3,3,1,19,0.211,,0,1
2019,1. Liga (BLA),Bulls,Gregor Paterno,0,0,4.90,2,0,0,0,0,3.67,4,2,6,1,0,0,0,1,0,3,0,2,0,0,17,0.353,,0,0
2019,1. Liga (BLA),Bulls,Clayton Carson,0,1,27.27,1,0,0,0,0,0.66,2,2,3,0,0,1,0,0,0,1,0,0,0,0,5,0.600,,0,1
