Jahr,Liga,Team,Player,BA,G,PA,AB,R,H,2B,3B,HR,RBI,SH,SF,HP,BB,IBB,K,SB,CS,GDP,SLG,OBP,OPS,,,,,,
2019,1. Liga (BLA),Bulls,Jose Ruiz,0.379,21,96,66,22,25,2,1,3,20,0,1,1,28,0,8,11,1,1,0.576,0.563,1.138,,,,,,
2019,1. Liga (BLA),Bulls,Erwin Frias,0.358,24,114,95,22,34,9,1,0,11,1,0,5,13,0,18,16,3,0,0.474,0.460,0.934,,,,,,
2019,1. Liga (BLA),Bulls,Zeke Howie,0.353,26,115,102,16,36,8,1,3,27,0,1,5,7,0,13,2,0,2,0.539,0.417,0.957,,,,,,
2019,1. Liga (BLA),Bulls,Marcel Winder,0.317,26,118,101,22,32,1,0,0,19,4,0,6,7,0,18,14,2,1,0.327,0.395,0.721,,,,,,
2019,1. Liga (BLA),Bulls,Richard Kranabetter,0.241,20,72,54,11,13,3,1,0,5,1,1,3,13,0,15,10,2,0,0.333,0.408,0.742,,,,,,
2019,1. Liga (BLA),Bulls,Kirian Pichler,0.198,24,96,81,10,16,2,0,1,7,0,0,1,14,0,28,0,0,2,0.259,0.323,0.582,,,,,,
2019,1. Liga (BLA),Bulls,Yanik Mäser,0.179,19,66,56,8,10,2,0,0,6,1,0,1,8,0,25,2,0,0,0.214,0.292,0.507,,,,,,
2019,1. Liga (BLA),Bulls,Gregor Paterno,0.152,26,97,79,18,12,2,0,0,9,1,0,4,13,0,17,10,3,0,0.177,0.302,0.479,,,,,,
2019,1. Liga (BLA),Bulls,Carlos Gabriel,0.119,18,73,59,9,7,1,0,0,2,1,0,4,9,0,16,4,0,0,0.136,0.278,0.413,,,,,,
2019,1. Liga (BLA),Bulls,Clayton Carson,0.417,4,13,12,3,5,1,0,1,2,0,0,0,1,0,2,1,0,0,0.750,0.462,1.212,,,,,,
2019,1. Liga (BLA),Bulls,Arjan Frans,0.250,9,8,8,1,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0.250,0.250,0.500,,,,,,
2019,1. Liga (BLA),Bulls,Luca Mäser,0.206,14,38,34,4,7,0,0,0,1,1,0,0,3,0,12,2,0,0,0.206,0.270,0.476,,,,,,
2019,1. Liga (BLA),Bulls,Hannes Moosbrugger,0.111,14,37,36,2,4,1,0,0,2,0,0,1,0,0,19,0,0,0,0.139,0.135,0.274,,,,,,
2019,1. Liga (BLA),Bulls,Pascal Campregher,0.091,10,12,11,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0.091,0.167,0.258,,,,,,
2019,1. Liga (BLA),Bulls,Hubert Böhler,0.087,14,55,46,6,4,2,0,0,4,1,1,5,2,0,15,0,0,1,0.130,0.204,0.334,,,,,,
2019,1. Liga (BLA),Bulls,Max Harrer,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,,,,,,
2019,1. Liga (BLA),Bulls,Raphael Leo,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,,,,,,
