Jahr,Liga,Team,Player,W,L,ERA,G,GS,CG,Sho,Sv,IP,R,ER,H,2B,3B,HR,SH,SF,HB,BB,IBB,K,WP,Bk,AB,BAVG,,W,L
2021,1. Liga (BBL),Bulls,Schüller Sven,2,4,2.81,9,9,1,1,0,48,25,15,23,5,0,1,1,0,8,19,0,66,10,0,177,0.130,,2,4
2021,1. Liga (BBL),Bulls,Marcus Fukuhara,2,1,4.22,7,1,1,0,0,32,25,15,38,7,1,0,1,2,7,13,0,28,7,0,134,0.284,,2,1
2021,1. Liga (BBL),Bulls,Kirian Pichler,1,5,7.96,12,5,0,0,0,52,54,46,66,17,0,5,5,4,9,39,0,31,7,0,210,0.314,,1,5
2021,1. Liga (BBL),Bulls,Jonas Zimmermann,0,4,11.17,13,2,0,0,0,19.34,25,24,32,10,0,3,0,2,9,21,0,5,4,0,82,0.390,,0,4
2021,1. Liga (BBL),Bulls,Erwin Frias,0,4,12.15,6,4,0,0,1,20,33,27,36,9,2,2,1,1,1,12,0,26,3,0,98,0.367,,0,4
2021,1. Liga (BBL),Bulls,Pascal Campregher,1,3,11.93,11,5,0,0,0,28.67,43,38,31,7,0,5,0,0,14,40,0,32,7,0,116,0.267,,1,3
2021,1. Liga (BBL),Bulls,Levin Maier,0,1,14.73,7,2,0,0,0,11,20,18,9,3,0,1,0,0,5,21,0,8,2,1,41,0.220,,0,1
2021,1. Liga (BBL),Bulls,Marcel Winder,0,0,17.54,3,0,0,0,0,6.67,18,13,26,5,1,2,0,1,0,2,0,2,1,0,44,0.591,,0,0
2021,1. Liga (BBL),Bulls,Hubert Böhler,0,0,21.38,4,0,0,0,0,8,25,19,30,10,0,1,0,0,2,7,0,1,0,0,51,0.588,,0,0
