Jahr,Liga,Team,Player,BA,G,PA,AB,R,H,2B,3B,HR,RBI,SH,SF,HP,BB,IBB,K,SB,CS,GDP,Slg,OBP,OPS,,,,,,
2022,1. Liga (BBL),Bulls,Erwin Frias,0.368,31,155,136,41,50,7,1,1,14,1,0,3,15,,19,21,2,0,0.456,0.442,0.897,,,,,,
2022,1. Liga (BBL),Bulls,Clayton Carson,0.319,28,136,113,27,36,7,0,4,24,1,1,1,20,,9,8,0,1,0.487,0.422,0.909,,,,,,
2022,1. Liga (BBL),Bulls,Zachary Holt,0.361,30,136,108,26,39,9,0,9,31,0,1,7,20,,18,3,1,1,0.694,0.485,1.180,,,,,,
2022,1. Liga (BBL),Bulls,Yanik Mäser,0.152,25,117,92,16,14,2,1,2,11,0,1,10,14,,25,11,3,1,0.261,0.325,0.586,,,,,,
2022,1. Liga (BBL),Bulls,Kirian Pichler,0.200,26,113,100,10,20,1,0,0,9,1,0,2,10,,28,4,1,1,0.210,0.286,0.496,,,,,,
2022,1. Liga (BBL),Bulls,Yodai Nakamura,0.427,29,112,82,24,35,6,0,2,32,0,2,10,18,,10,5,0,2,0.573,0.563,1.136,,,,,,
2022,1. Liga (BBL),Bulls,Hubert Böhler,0.205,23,103,83,5,17,2,0,0,10,1,2,15,2,,28,0,2,1,0.229,0.333,0.562,,,,,,
2022,1. Liga (BBL),Bulls,Luca Mäser,0.250,24,98,84,16,21,0,0,0,7,3,0,2,9,,21,8,3,0,0.250,0.337,0.587,,,,,,
2022,1. Liga (BBL),Bulls,Pascal Campregher,0.188,18,58,48,3,9,0,0,0,5,1,0,3,6,,16,1,1,1,0.188,0.316,0.503,,,,,,
2022,1. Liga (BBL),Bulls,Leon Nöbl,0.175,13,44,40,5,7,0,0,0,1,1,0,1,2,,15,1,1,0,0.175,0.233,0.408,,,,,,
2022,1. Liga (BBL),Bulls,Matthias Lutter,0.118,17,44,34,7,4,0,0,0,5,0,0,1,9,,24,2,0,0,0.118,0.318,0.436,,,,,,
2022,1. Liga (BBL),Bulls,Marvin Glassen,0.061,13,37,33,1,2,0,0,0,2,1,0,1,2,,20,0,0,0,0.061,0.139,0.199,,,,,,
2022,1. Liga (BBL),Bulls,Hokuto Kanai,0.235,16,35,34,4,8,0,0,0,1,0,0,0,1,,9,0,0,0,0.235,0.257,0.492,,,,,,
2022,1. Liga (BBL),Bulls,Richard Kranabetter,0.188,8,35,32,7,6,0,0,0,2,0,0,0,3,,11,1,0,0,0.188,0.257,0.445,,,,,,
2022,1. Liga (BBL),Bulls,Gregor Paterno,0.278,6,20,18,4,5,0,0,0,1,0,0,0,2,,8,0,0,0,0.278,0.350,0.628,,,,,,
2022,1. Liga (BBL),Bulls,Levin Maier,0.000,11,16,15,0,0,0,0,0,0,1,0,0,0,,9,0,0,0,0.000,0.000,0.000,,,,,,
2022,1. Liga (BBL),Bulls,Jonas Zimmermann,0.071,13,15,14,1,1,0,0,0,2,1,0,0,0,,9,0,0,0,0.071,0.071,0.143,,,,,,
2022,1. Liga (BBL),Bulls,Marcel Winder,0.182,7,15,11,2,2,0,0,0,1,1,0,3,0,,4,0,0,0,0.182,0.357,0.539,,,,,,
2022,1. Liga (BBL),Bulls,Laurin Schedler,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.000,0.000,0.000,,,,,,
2022,1. Liga (BBL),Bulls,Daniel Hotz,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,
