Datum,Startzeit,Spielort,Heim,Gast
08.07.2023,13:00,"Batsfield, Rannersdorf",Schwechat Blue Bats,Dornbirn Indians
08.07.2023,15:30,"Batsfield, Rannersdorf",Schwechat Blue Bats,Dornbirn Indians
08.07.2023,13:00,"Ballpark am See, Hard",Hard Bulls,Vienna Wanderers
08.07.2023,15:30,"Ballpark am See, Hard",Hard Bulls,Vienna Wanderers
09.07.2023,15:00,"Ducksfield, Wiener Neustadt",Wr. Neustadt Diving Ducks,Vienna Metrostars
14.07.2023,19:00,"Ballpark Spenadlwiese, Wien",Vienna Wanderers,Vienna Metrostars
15.07.2023,13:00,"Sportanlage Rohrbach, Dornbirn",Dornbirn Indians,Traiskirchen Grasshoppers
15.07.2023,15:30,"Sportanlage Rohrbach, Dornbirn",Dornbirn Indians,Traiskirchen Grasshoppers
15.07.2023,13:00,"Batsfield, Rannersdorf",Schwechat Blue Bats,Wr. Neustadt Diving Ducks
15.07.2023,15:30,"Batsfield, Rannersdorf",Schwechat Blue Bats,Wr. Neustadt Diving Ducks
16.07.2023,14:00,"Ballpark Spenadlwiese, Wien",Vienna Wanderers,Vienna Metrostars
21.07.2023,19:00,"Ducksfield, Wiener Neustadt",Wr. Neustadt Diving Ducks,Schwechat Blue Bats
22.07.2023,14:00,"Ballpark Spenadlwiese, Wien",Vienna Wanderers,Dornbirn Indians
22.07.2023,16:30,"Ballpark Spenadlwiese, Wien",Vienna Wanderers,Dornbirn Indians
22.07.2023,13:00,"Ballpark am See, Hard",Hard Bulls,Vienna Metrostars
22.07.2023,15:30,"Ballpark am See, Hard",Hard Bulls,Vienna Metrostars
23.07.2023,15:00,"Ducksfield, Wiener Neustadt",Wr. Neustadt Diving Ducks,Schwechat Blue Bats
28.07.2023,19:00,"Ballpark Spenadlwiese, Wien",Vienna Wanderers,Traiskirchen Grasshoppers
29.07.2023,14:00,"Hoppersfield, Traiskirchen",Traiskirchen Grasshoppers,Vienna Wanderers
30.07.2023,13:00,"Sportanlage Rohrbach, Dornbirn",Dornbirn Indians,Hard Bulls
30.07.2023,15:30,"Sportanlage Rohrbach, Dornbirn",Dornbirn Indians,Hard Bulls
30.07.2023,13:00,"Ballpark Freudenau, Wien",Vienna Metrostars,Schwechat Blue Bats
30.07.2023,15:30,"Ballpark Freudenau, Wien",Vienna Metrostars,Schwechat Blue Bats
