Jahr,Liga,Team,Player,BA,G,PA,AB,R,H,2B,3B,HR,RBI,SH,SF,HP,BB,IBB,K,SB,CS,GDP,Slg,OBP,OPS,,,,,,
2020,1. Liga (BBL),Bulls,Erwin Frias,0.415,22,96,82,26,34,4,2,1,5,0,0,2,12,0,14,17,2,0,0.549,0.500,1.049,,,,,,
2020,1. Liga (BBL),Bulls,Kirian Pichler,0.243,22,86,70,6,17,2,0,0,14,0,0,2,14,0,25,1,0,0,0.271,0.384,0.655,,,,,,
2020,1. Liga (BBL),Bulls,Marcel Winder,0.292,20,85,72,18,21,3,0,0,7,0,0,5,8,0,11,8,3,0,0.333,0.400,0.733,,,,,,
2020,1. Liga (BBL),Bulls,Yanik Mäser,0.153,22,81,72,7,11,4,0,0,5,0,0,2,7,0,31,0,0,0,0.208,0.247,0.455,,,,,,
2020,1. Liga (BBL),Bulls,Hubert Böhler,0.212,20,80,66,6,14,3,0,0,10,0,0,7,7,0,17,0,0,3,0.258,0.350,0.608,,,,,,
2020,1. Liga (BBL),Bulls,Clayton Carson,0.345,17,70,58,15,20,3,0,3,15,0,1,0,11,0,3,4,0,1,0.552,0.443,0.995,,,,,,
2020,1. Liga (BBL),Bulls,Pavao Karin,0.222,21,63,54,8,12,1,1,1,6,0,0,1,8,0,8,1,0,1,0.333,0.333,0.667,,,,,,
2020,1. Liga (BBL),Bulls,Pascal Campregher,0.132,21,54,38,2,5,0,0,0,2,1,1,0,14,0,17,1,1,0,0.132,0.358,0.490,,,,,,
2020,1. Liga (BBL),Bulls,Arjan Frans,0.182,19,49,44,4,8,2,0,0,2,0,0,0,5,0,23,1,1,1,0.227,0.265,0.493,,,,,,
2020,1. Liga (BBL),Bulls,Luca Mäser,0.184,14,44,38,5,7,0,0,0,2,1,0,3,2,0,8,3,0,0,0.184,0.279,0.463,,,,,,
2020,1. Liga (BBL),Bulls,Leon Nöbl,0.048,12,22,21,1,1,0,0,0,2,0,0,0,1,0,8,0,0,1,0.048,0.091,0.139,,,,,,
2020,1. Liga (BBL),Bulls,Raphael Leo,0.150,11,21,20,1,3,0,0,0,0,0,0,0,1,0,5,0,0,1,0.150,0.190,0.340,,,,,,
2020,1. Liga (BBL),Bulls,Matthias Lutter,0.063,8,17,16,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0.063,0.118,0.180,,,,,,
2020,1. Liga (BBL),Bulls,Max Harrer,0.143,8,15,14,1,2,0,0,0,0,0,0,0,1,0,7,0,0,1,0.143,0.200,0.343,,,,,,
2020,1. Liga (BBL),Bulls,Patrick Küng,0.200,5,12,10,2,2,0,0,0,2,0,0,1,1,0,6,0,0,0,0.200,0.333,0.533,,,,,,
2020,1. Liga (BBL),Bulls,Levin Maier,0.000,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,,,,,,
2020,1. Liga (BBL),Bulls,Jonas Zimmermann,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,,,,,,
2020,1. Liga (BBL),Bulls,Marvin Glassen,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,,,,,,
