Jahr,Liga,Team,Player,W,L,ERA,G,GS,CG,Sho,Sv,IP,R,ER,H,2B,3B,HR,SH,SF,HB,BB,IBB,K,WP,Bk,AB,BAVG,,W,L
2018,1. Liga (BLA),Bulls,Takuro Sugio,4,5,2.25,10,10,6,2,0,76,32,19,78,10,2,1,4,2,4,23,0,86,6,0,299,0.261,,4,5
2018,1. Liga (BLA),Bulls,Marcel Winder,1,0,8.12,7,4,1,0,0,44.34,48,40,63,12,3,3,1,3,3,31,0,22,6,1,190,0.332,,1,0
2018,1. Liga (BLA),Bulls,Kirian Pichler,3,4,15.19,12,4,0,0,0,32,58,54,49,9,1,1,1,2,9,48,0,18,2,4,143,0.343,,3,4
2018,1. Liga (BLA),Bulls,Clemens Cichocki,2,0,0.90,4,4,0,0,0,20,3,2,17,2,0,0,0,0,5,9,0,13,4,0,74,0.230,,2,0
2018,1. Liga (BLA),Bulls,Erwin Frias,0,2,9.41,5,1,0,0,0,14.34,17,15,25,5,0,1,0,2,3,7,0,6,1,1,65,0.385,,0,2
2018,1. Liga (BLA),Bulls,Simon Peter,0,1,6.75,4,0,0,0,1,13.34,12,10,14,5,0,1,0,1,2,14,0,8,1,0,54,0.259,,0,1
2018,1. Liga (BLA),Bulls,Jeremy Howard,0,3,15.32,3,3,0,0,0,12.34,22,21,27,8,3,1,0,1,1,9,0,11,3,0,62,0.435,,0,3
2018,1. Liga (BLA),Bulls,Gregor Paterno,0,2,10.98,6,0,0,0,1,10.66,18,13,12,1,0,0,0,1,5,17,0,12,6,0,45,0.267,,0,2
2018,1. Liga (BLA),Bulls,Pascal Campregher,0,1,19.13,4,2,0,0,0,8,17,17,10,1,1,1,0,0,3,23,0,3,5,0,32,0.313,,0,1
2018,1. Liga (BLA),Bulls,Carlos Gabriel,0,1,17.62,4,1,0,0,0,7.66,17,15,12,2,1,1,1,2,3,19,0,2,3,0,31,0.387,,0,1
2018,1. Liga (BLA),Bulls,Jose Ruiz,0,0,14.75,2,0,0,0,0,3.66,6,6,9,1,1,0,0,0,1,1,0,1,0,1,19,0.474,,0,0
