Jahr,Liga,Team,Player,BA,G,PA,AB,R,H,2B,3B,HR,RBI,SH,SF,HP,BB,IBB,K,SB,CS,GDP,Slg,OBP,OPS,,,,,,
2021,1. Liga (BBL),Bulls,Erwin Frias,0.273,28,125,110,27,30,2,0,5,16,0,0,5,10,0,21,24,1,0,0.427,0.360,0.787,,,,,,
2021,1. Liga (BBL),Bulls,Marcel Winder,0.333,28,114,102,15,34,5,0,1,16,2,0,3,7,0,16,11,1,1,0.412,0.393,0.805,,,,,,
2021,1. Liga (BBL),Bulls,Yanik Mäser,0.191,26,104,89,9,17,4,1,1,12,0,1,4,10,0,35,6,0,0,0.292,0.298,0.590,,,,,,
2021,1. Liga (BBL),Bulls,Kirian Pichler,0.218,26,100,87,13,19,4,1,0,10,0,1,2,10,0,26,4,1,1,0.287,0.310,0.597,,,,,,
2021,1. Liga (BBL),Bulls,Hubert Böhler,0.123,26,99,81,9,10,2,0,1,11,1,0,12,5,0,26,0,0,2,0.185,0.276,0.461,,,,,,
2021,1. Liga (BBL),Bulls,Yodai Nakamura,0.440,24,103,84,15,37,9,0,1,11,0,1,8,10,0,11,3,0,2,0.583,0.534,1.117,,,,,,
2021,1. Liga (BBL),Bulls,Clayton Carson,0.266,24,96,79,11,21,2,0,3,14,0,1,6,10,0,8,6,0,0,0.405,0.385,0.790,,,,,,
2021,1. Liga (BBL),Bulls,Arjan Frans,0.116,23,48,43,7,5,0,0,0,0,0,0,2,3,0,20,2,0,0,0.116,0.208,0.325,,,,,,
2021,1. Liga (BBL),Bulls,Pascal Campregher,0.077,20,29,26,0,2,1,0,0,1,0,0,0,3,0,13,0,0,1,0.115,0.172,0.288,,,,,,
2021,1. Liga (BBL),Bulls,Leon Nöbl,0.174,19,51,46,6,8,1,0,0,5,0,0,0,5,0,16,0,0,0,0.196,0.255,0.451,,,,,,
2021,1. Liga (BBL),Bulls,Luca Mäser,0.195,19,46,41,2,8,0,0,0,2,1,0,1,3,0,10,4,1,0,0.195,0.267,0.462,,,,,,
2021,1. Liga (BBL),Bulls,Marcus Fukuhara,0.185,16,42,27,11,5,0,0,0,3,0,0,3,12,0,5,2,1,0,0.185,0.476,0.661,,,,,,
2021,1. Liga (BBL),Bulls,Marvin Glassen,0.125,16,26,24,1,3,0,0,0,1,0,1,0,1,0,16,0,0,1,0.125,0.154,0.279,,,,,,
2021,1. Liga (BBL),Bulls,Jonas Zimmermann,0.100,16,10,10,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0.100,0.100,0.200,,,,,,
2021,1. Liga (BBL),Bulls,Sven Schüller,0.333,15,6,6,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0.333,0.333,0.667,,,,,,
2021,1. Liga (BBL),Bulls,Levin Maier,0.160,14,27,25,2,4,2,0,0,4,0,0,0,2,0,10,0,0,0,0.240,0.222,0.462,,,,,,
2021,1. Liga (BBL),Bulls,Patrick Küng,0.111,8,15,9,0,1,0,0,0,0,1,0,1,4,0,2,1,1,0,0.111,0.429,0.540,,,,,,
2021,1. Liga (BBL),Bulls,Matthias Lutter,0.000,4,5,3,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0.000,0.400,0.400,,,,,,
2021,1. Liga (BBL),Bulls,Hannes Moosbrugger,0.000,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,,,,,,
2021,1. Liga (BBL),Bulls,Max Harrer,0.111,3,9,9,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0.222,0.111,0.333,,,,,,
